
央视,#genre#
CCTV1,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600001859&id=2024078201$49
CCTV2,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600001800&id=2024075401$49
CCTV3,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600001801&id=2024068501$49
CCTV4,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600001814&id=2024078301$49
CCTV5,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600001818&id=2024078401$49
CCTV5+,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600001817&id=2024078001$49
CCTV6,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600108442&id=2013693901$49
CCTV7,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600004092&id=2024072001$49
CCTV8,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600001803&id=2024078501$49
CCTV9,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600004078&id=2024078601$49
CCTV10,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600001805&id=2024078701$49
CCTV11,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600001806&id=2027248701$49
CCTV12,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600001807&id=2027248801$49
CCTV13,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600001811&id=2024079001$49
CCTV14,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600001809&id=2027248901$49
CCTV15,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600001815&id=2027249001$49
CCTV16,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600098637&id=2027249101$49
CCTV17,http://49.232.7.89:6688/yangshipin/ysp.php?pid=600001810&id=2027249401$49
CCTV1,http://go.bkpcp.top/mg/cctv1$go
CCTV2,http://go.bkpcp.top/mg/cctv2$go
CCTV3,http://go.bkpcp.top/mg/cctv3$go
CCTV4,http://go.bkpcp.top/mg/cctv4$go
CCTV5,http://go.bkpcp.top/mg/cctv5$go
CCTV6,http://go.bkpcp.top/mg/cctv6$go
CCTV7,http://go.bkpcp.top/mg/cctv7$go
CCTV8,http://go.bkpcp.top/mg/cctv8$go
CCTV9,http://go.bkpcp.top/mg/cctv9$go
CCTV10,http://go.bkpcp.top/mg/cctv10$go
CCTV11,http://go.bkpcp.top/mg/cctv11$go
CCTV12,http://go.bkpcp.top/mg/cctv12$go
CCTV13,http://go.bkpcp.top/mg/cctv13$go
CCTV14,http://go.bkpcp.top/mg/cctv14$go
CCTV15,http://go.bkpcp.top/mg/cctv15$go
CCTV16,http://go.bkpcp.top/mg/cctv16$go
CCTV17,http://go.bkpcp.top/mg/cctv17$go
CCTV5+,http://go.bkpcp.top/mg/cctv5p$go
CCTV1,http://tvtj.jxwltx.com:8003/cctv1.m3u8$tvtj
CCTV2,http://tvtj.jxwltx.com:8003/cctv2.m3u8$tvtj
CCTV3,http://tvtj.jxwltx.com:8003/cctv3.m3u8$tvtj
CCTV4,http://tvtj.jxwltx.com:8003/cctv4.m3u8$tvtj
CCTV5,http://tvtj.jxwltx.com:8003/cctv5.m3u8$tvtj
CCTV6,http://tvtj.jxwltx.com:8003/cctv6.m3u8$tvtj
CCTV7,http://tvtj.jxwltx.com:8003/cctv7.m3u8$tvtj
CCTV8,http://tvtj.jxwltx.com:8003/cctv8.m3u8$tvtj
CCTV9,http://tvtj.jxwltx.com:8003/cctv9.m3u8$tvtj
CCTV10,http://tvtj.jxwltx.com:8003/cctv10.m3u8$tvtj
CCTV11,http://tvtj.jxwltx.com:8003/cctv11.m3u8$tvtj
CCTV12,http://tvtj.jxwltx.com:8003/cctv12.m3u8$tvtj
CCTV13,http://tvtj.jxwltx.com:8003/cctv13.m3u8$tvtj
CCTV14,http://tvtj.jxwltx.com:8003/cctv14.m3u8$tvtj
CCTV15,http://tvtj.jxwltx.com:8003/cctv15.m3u8$tvtj
CCTV16,http://tvtj.jxwltx.com:8003/cctv5p.m3u8$tvtj
CCTV17,http://tvtj.jxwltx.com:8003/cctv17.m3u8$tvtj
CCTV1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8$iptv
CCTV2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8$iptv
